rider_name,rider_url,nationality,rider_number,team_name,team_url
THOMAS Geraint,rider/geraint-thomas,GB,1,Team INEOS (WT),team/team-ineos-2019
BERNAL Egan,rider/egan-bernal,CO,2,Team INEOS (WT),team/team-ineos-2019
CASTROVIEJO Jonathan,rider/jonathan-castroviejo,ES,3,Team INEOS (WT),team/team-ineos-2019
KWIATKOWSKI Michał,rider/michal-kwiatkowski,PL,4,Team INEOS (WT),team/team-ineos-2019
MOSCON Gianni,rider/gianni-moscon,IT,5,Team INEOS (WT),team/team-ineos-2019
POELS Wout,rider/wout-poels,NL,6,Team INEOS (WT),team/team-ineos-2019
ROWE Luke,rider/luke-rowe,GB,7,Team INEOS (WT),team/team-ineos-2019
VAN BAARLE Dylan,rider/dylan-van-baarle,NL,8,Team INEOS (WT),team/team-ineos-2019
SAGAN Peter,rider/peter-sagan,SK,11,BORA - hansgrohe (WT),team/bora-hansgrohe-2019
BUCHMANN Emanuel,rider/emanuel-buchmann,DE,12,BORA - hansgrohe (WT),team/bora-hansgrohe-2019
BURGHARDT Marcus,rider/marcus-burghardt,DE,13,BORA - hansgrohe (WT),team/bora-hansgrohe-2019
KONRAD Patrick,rider/patrick-konrad,AT,14,BORA - hansgrohe (WT),team/bora-hansgrohe-2019
MÜHLBERGER Gregor,rider/gregor-muhlberger,AT,15,BORA - hansgrohe (WT),team/bora-hansgrohe-2019
OSS Daniel,rider/daniel-oss,IT,16,BORA - hansgrohe (WT),team/bora-hansgrohe-2019
PÖSTLBERGER Lukas,rider/lukas-postlberger,AT,17,BORA - hansgrohe (WT),team/bora-hansgrohe-2019
SCHACHMANN Maximilian,rider/maximilian-schachmann,DE,18,BORA - hansgrohe (WT),team/bora-hansgrohe-2019
ALAPHILIPPE Julian,rider/julian-alaphilippe,FR,21,Deceuninck - Quick Step (WT),team/deceuninck-quick-step-2019
ASGREEN Kasper,rider/kasper-asgreen,DK,22,Deceuninck - Quick Step (WT),team/deceuninck-quick-step-2019
DEVENYNS Dries,rider/dries-devenyns,BE,23,Deceuninck - Quick Step (WT),team/deceuninck-quick-step-2019
LAMPAERT Yves,rider/yves-lampaert,BE,24,Deceuninck - Quick Step (WT),team/deceuninck-quick-step-2019
MAS Enric,rider/enric-mas,ES,25,Deceuninck - Quick Step (WT),team/deceuninck-quick-step-2019
MØRKØV Michael,rider/michael-morkov,DK,26,Deceuninck - Quick Step (WT),team/deceuninck-quick-step-2019
RICHEZE Maximiliano,rider/ariel-maximiliano-richeze,AR,27,Deceuninck - Quick Step (WT),team/deceuninck-quick-step-2019
VIVIANI Elia,rider/elia-viviani,IT,28,Deceuninck - Quick Step (WT),team/deceuninck-quick-step-2019
BARDET Romain,rider/romain-bardet,FR,31,AG2R La Mondiale (WT),team/ag2r-la-mondiale-2019
CHEREL Mikaël,rider/mikael-cherel,FR,32,AG2R La Mondiale (WT),team/ag2r-la-mondiale-2019
COSNEFROY Benoît,rider/benoit-cosnefroy,FR,33,AG2R La Mondiale (WT),team/ag2r-la-mondiale-2019
FRANK Mathias,rider/mathias-frank,CH,34,AG2R La Mondiale (WT),team/ag2r-la-mondiale-2019
GALLOPIN Tony,rider/tony-gallopin,FR,35,AG2R La Mondiale (WT),team/ag2r-la-mondiale-2019
GOUGEARD Alexis,rider/alexis-gougeard,FR,36,AG2R La Mondiale (WT),team/ag2r-la-mondiale-2019
NAESEN Oliver,rider/oliver-naesen,BE,37,AG2R La Mondiale (WT),team/ag2r-la-mondiale-2019
VUILLERMOZ Alexis,rider/alexis-vuillermoz,FR,38,AG2R La Mondiale (WT),team/ag2r-la-mondiale-2019
NIBALI Vincenzo,rider/vincenzo-nibali,IT,41,Bahrain Merida (WT),team/bahrain-merida-2019
CARUSO Damiano,rider/damiano-caruso,IT,42,Bahrain Merida (WT),team/bahrain-merida-2019
COLBRELLI Sonny,rider/sonny-colbrelli,IT,43,Bahrain Merida (WT),team/bahrain-merida-2019
DENNIS Rohan,rider/rohan-dennis,AU,44,Bahrain Merida (WT),team/bahrain-merida-2019
GARCÍA CORTINA Iván,rider/ivan-garcia-cortina,ES,45,Bahrain Merida (WT),team/bahrain-merida-2019
MOHORIČ Matej,rider/matej-mohoric,SI,46,Bahrain Merida (WT),team/bahrain-merida-2019
TEUNS Dylan,rider/dylan-teuns,BE,47,Bahrain Merida (WT),team/bahrain-merida-2019
TRATNIK Jan,rider/jan-tratnik,SI,48,Bahrain Merida (WT),team/bahrain-merida-2019
PINOT Thibaut,rider/thibaut-pinot,FR,51,Groupama - FDJ (WT),team/groupama-fdj-2019
BONNET William,rider/william-bonnet,FR,52,Groupama - FDJ (WT),team/groupama-fdj-2019
GAUDU David,rider/david-gaudu,FR,53,Groupama - FDJ (WT),team/groupama-fdj-2019
KÜNG Stefan,rider/stefan-kung,CH,54,Groupama - FDJ (WT),team/groupama-fdj-2019
LADAGNOUS Matthieu,rider/matthieu-ladagnous,FR,55,Groupama - FDJ (WT),team/groupama-fdj-2019
MOLARD Rudy,rider/rudy-molard,FR,56,Groupama - FDJ (WT),team/groupama-fdj-2019
REICHENBACH Sébastien,rider/sebastien-reichenbach,CH,57,Groupama - FDJ (WT),team/groupama-fdj-2019
ROUX Anthony,rider/anthony-roux,FR,58,Groupama - FDJ (WT),team/groupama-fdj-2019
QUINTANA Nairo,rider/nairo-quintana,CO,61,Movistar Team (WT),team/movistar-team-2019
VALVERDE Alejandro,rider/alejandro-valverde,ES,62,Movistar Team (WT),team/movistar-team-2019
AMADOR Andrey,rider/andrey-amador,CR,63,Movistar Team (WT),team/movistar-team-2019
ERVITI Imanol,rider/imanol-erviti,ES,64,Movistar Team (WT),team/movistar-team-2019
LANDA Mikel,rider/mikel-landa,ES,65,Movistar Team (WT),team/movistar-team-2019
OLIVEIRA Nelson,rider/nelson-oliveira,PT,66,Movistar Team (WT),team/movistar-team-2019
SOLER Marc,rider/marc-soler,ES,67,Movistar Team (WT),team/movistar-team-2019
VERONA Carlos,rider/carlos-verona,ES,68,Movistar Team (WT),team/movistar-team-2019
FUGLSANG Jakob,rider/jakob-fuglsang,DK,71,Astana Pro Team (WT),team/astana-pro-team-2019
BILBAO Pello,rider/pello-bilbao,ES,72,Astana Pro Team (WT),team/astana-pro-team-2019
FRAILE Omar,rider/omar-fraile,ES,73,Astana Pro Team (WT),team/astana-pro-team-2019
HOULE Hugo,rider/hugo-houle,CA,74,Astana Pro Team (WT),team/astana-pro-team-2019
IZAGIRRE Gorka,rider/gorka-izagirre,ES,75,Astana Pro Team (WT),team/astana-pro-team-2019
LUTSENKO Alexey,rider/aleksey-lutsenko,KZ,76,Astana Pro Team (WT),team/astana-pro-team-2019
CORT Magnus,rider/magnus-cort-nielsen,DK,77,Astana Pro Team (WT),team/astana-pro-team-2019
SÁNCHEZ Luis León,rider/luis-leon-sanchez,ES,78,Astana Pro Team (WT),team/astana-pro-team-2019
KRUIJSWIJK Steven,rider/steven-kruijswijk,NL,81,Team Jumbo-Visma (WT),team/team-jumbo-visma-2019
BENNETT George,rider/george-bennett,NZ,82,Team Jumbo-Visma (WT),team/team-jumbo-visma-2019
DE PLUS Laurens,rider/laurens-de-plus,BE,83,Team Jumbo-Visma (WT),team/team-jumbo-visma-2019
GROENEWEGEN Dylan,rider/dylan-groenewegen,NL,84,Team Jumbo-Visma (WT),team/team-jumbo-visma-2019
JANSEN Amund Grøndahl,rider/amund-grondahl-jansen,NO,85,Team Jumbo-Visma (WT),team/team-jumbo-visma-2019
MARTIN Tony,rider/tony-martin,DE,86,Team Jumbo-Visma (WT),team/team-jumbo-visma-2019
TEUNISSEN Mike,rider/mike-teunissen,NL,87,Team Jumbo-Visma (WT),team/team-jumbo-visma-2019
VAN AERT Wout,rider/wout-van-aert,BE,88,Team Jumbo-Visma (WT),team/team-jumbo-visma-2019
URÁN Rigoberto,rider/rigoberto-uran,CO,91,EF Education First (WT),team/ef-education-first-2019
BETTIOL Alberto,rider/alberto-bettiol,IT,92,EF Education First (WT),team/ef-education-first-2019
CLARKE Simon,rider/simon-clarke,AU,93,EF Education First (WT),team/ef-education-first-2019
KANGERT Tanel,rider/tanel-kangert,EE,94,EF Education First (WT),team/ef-education-first-2019
LANGEVELD Sebastian,rider/sebastian-langeveld,NL,95,EF Education First (WT),team/ef-education-first-2019
SCULLY Tom,rider/thomas-scully,NZ,96,EF Education First (WT),team/ef-education-first-2019
VAN GARDEREN Tejay,rider/tejay-van-garderen,US,97,EF Education First (WT),team/ef-education-first-2019
WOODS Michael,rider/michael-woods,CA,98,EF Education First (WT),team/ef-education-first-2019
YATES Adam,rider/adam-yates,GB,101,Mitchelton-Scott (WT),team/mitchelton-scott-2019
DURBRIDGE Luke,rider/luke-durbridge,AU,102,Mitchelton-Scott (WT),team/mitchelton-scott-2019
HAIG Jack,rider/jack-haig,AU,103,Mitchelton-Scott (WT),team/mitchelton-scott-2019
HEPBURN Michael,rider/michael-hepburn,AU,104,Mitchelton-Scott (WT),team/mitchelton-scott-2019
IMPEY Daryl,rider/daryl-impey,ZA,105,Mitchelton-Scott (WT),team/mitchelton-scott-2019
JUUL-JENSEN Christopher,rider/christopher-juul-jensen,DK,106,Mitchelton-Scott (WT),team/mitchelton-scott-2019
TRENTIN Matteo,rider/matteo-trentin,IT,107,Mitchelton-Scott (WT),team/mitchelton-scott-2019
YATES Simon,rider/simon-yates,GB,108,Mitchelton-Scott (WT),team/mitchelton-scott-2019
VAN AVERMAET Greg,rider/greg-van-avermaet,BE,111,CCC Team (WT),team/ccc-team-2019
BEVIN Patrick,rider/patrick-bevin,NZ,112,CCC Team (WT),team/ccc-team-2019
DE MARCHI Alessandro,rider/alessandro-de-marchi,IT,113,CCC Team (WT),team/ccc-team-2019
GESCHKE Simon,rider/simon-geschke,DE,114,CCC Team (WT),team/ccc-team-2019
PAUWELS Serge,rider/serge-pauwels,BE,115,CCC Team (WT),team/ccc-team-2019
ROSSKOPF Joey,rider/joey-rosskopf,US,116,CCC Team (WT),team/ccc-team-2019
SCHÄR Michael,rider/michael-schar,CH,117,CCC Team (WT),team/ccc-team-2019
WIŚNIOWSKI Łukasz,rider/lukasz-wisniowski,PL,118,CCC Team (WT),team/ccc-team-2019
MARTIN Dan,rider/dan-martin,IE,121,UAE Team Emirates (WT),team/uae-team-emirates-2019
ARU Fabio,rider/fabio-aru,IT,122,UAE Team Emirates (WT),team/uae-team-emirates-2019
BYSTRØM Sven Erik,rider/sven-erik-bystrom,NO,123,UAE Team Emirates (WT),team/uae-team-emirates-2019
COSTA Rui,rider/rui-costa,PT,124,UAE Team Emirates (WT),team/uae-team-emirates-2019
HENAO Sergio,rider/sergio-luis-henao,CO,125,UAE Team Emirates (WT),team/uae-team-emirates-2019
KRISTOFF Alexander,rider/alexander-kristoff,NO,126,UAE Team Emirates (WT),team/uae-team-emirates-2019
LAENGEN Vegard Stake,rider/vegard-stake-laengen,NO,127,UAE Team Emirates (WT),team/uae-team-emirates-2019
PHILIPSEN Jasper,rider/jasper-philipsen,BE,128,UAE Team Emirates (WT),team/uae-team-emirates-2019
PORTE Richie,rider/richie-porte,AU,131,Trek - Segafredo (WT),team/trek-segafredo-2019
BERNARD Julien,rider/julien-bernard,FR,132,Trek - Segafredo (WT),team/trek-segafredo-2019
CICCONE Giulio,rider/giulio-ciccone,IT,133,Trek - Segafredo (WT),team/trek-segafredo-2019
DE KORT Koen,rider/koen-de-kort,NL,134,Trek - Segafredo (WT),team/trek-segafredo-2019
FELLINE Fabio,rider/fabio-felline,IT,135,Trek - Segafredo (WT),team/trek-segafredo-2019
MOLLEMA Bauke,rider/bauke-mollema,NL,136,Trek - Segafredo (WT),team/trek-segafredo-2019
SKUJIŅŠ Toms,rider/toms-skujins,LV,137,Trek - Segafredo (WT),team/trek-segafredo-2019
STUYVEN Jasper,rider/jasper-stuyven,BE,138,Trek - Segafredo (WT),team/trek-segafredo-2019
MATTHEWS Michael,rider/michael-matthews,AU,141,Team Sunweb (WT),team/team-sunweb-2019
ARNDT Nikias,rider/nikias-arndt,DE,142,Team Sunweb (WT),team/team-sunweb-2019
BOL Cees,rider/cees-bol,NL,143,Team Sunweb (WT),team/team-sunweb-2019
HAGA Chad,rider/chad-haga,US,144,Team Sunweb (WT),team/team-sunweb-2019
KÄMNA Lennard,rider/lennard-kamna,DE,145,Team Sunweb (WT),team/team-sunweb-2019
KELDERMAN Wilco,rider/wilco-kelderman,NL,146,Team Sunweb (WT),team/team-sunweb-2019
KRAGH ANDERSEN Søren,rider/soren-kragh-andersen,DK,147,Team Sunweb (WT),team/team-sunweb-2019
ROCHE Nicolas,rider/nicolas-roche,IE,148,Team Sunweb (WT),team/team-sunweb-2019
LAPORTE Christophe,rider/christophe-laporte,FR,151,"Cofidis, Solutions Crédits (PCT)",team/cofidis-solutions-credits-2019
BERHANE Natnael,rider/natnael-berhane,ER,152,"Cofidis, Solutions Crédits (PCT)",team/cofidis-solutions-credits-2019
EDET Nicolas,rider/nicolas-edet,FR,153,"Cofidis, Solutions Crédits (PCT)",team/cofidis-solutions-credits-2019
HERRADA Jesús,rider/jesus-herrada-lopez,ES,154,"Cofidis, Solutions Crédits (PCT)",team/cofidis-solutions-credits-2019
PEREZ Anthony,rider/anthony-perez,FR,155,"Cofidis, Solutions Crédits (PCT)",team/cofidis-solutions-credits-2019
PÉRICHON Pierre-Luc,rider/pierre-luc-perichon,FR,156,"Cofidis, Solutions Crédits (PCT)",team/cofidis-solutions-credits-2019
ROSSETTO Stéphane,rider/stephane-rossetto,FR,157,"Cofidis, Solutions Crédits (PCT)",team/cofidis-solutions-credits-2019
SIMON Julien,rider/julien-simon,FR,158,"Cofidis, Solutions Crédits (PCT)",team/cofidis-solutions-credits-2019
EWAN Caleb,rider/caleb-ewan,AU,161,Lotto Soudal (WT),team/lotto-soudal-2019
BENOOT Tiesj,rider/tiesj-benoot,BE,162,Lotto Soudal (WT),team/lotto-soudal-2019
DE BUYST Jasper,rider/jasper-de-buyst,BE,163,Lotto Soudal (WT),team/lotto-soudal-2019
DE GENDT Thomas,rider/thomas-de-gendt,BE,164,Lotto Soudal (WT),team/lotto-soudal-2019
KEUKELEIRE Jens,rider/jens-keukeleire,BE,165,Lotto Soudal (WT),team/lotto-soudal-2019
KLUGE Roger,rider/roger-kluge,DE,166,Lotto Soudal (WT),team/lotto-soudal-2019
MONFORT Maxime,rider/maxime-monfort,BE,167,Lotto Soudal (WT),team/lotto-soudal-2019
WELLENS Tim,rider/tim-wellens,BE,168,Lotto Soudal (WT),team/lotto-soudal-2019
CALMEJANE Lilian,rider/lilian-calmejane,FR,171,Team Total Direct Energie (PCT),team/team-total-direct-energie-2019
BONIFAZIO Niccolò,rider/niccolo-bonifazio,IT,172,Team Total Direct Energie (PCT),team/team-total-direct-energie-2019
GRELLIER Fabien,rider/fabien-grellier,FR,173,Team Total Direct Energie (PCT),team/team-total-direct-energie-2019
OURSELIN Paul,rider/paul-ourselin,FR,174,Team Total Direct Energie (PCT),team/team-total-direct-energie-2019
SICARD Romain,rider/romain-sicard,FR,175,Team Total Direct Energie (PCT),team/team-total-direct-energie-2019
TAARAMÄE Rein,rider/rein-taaramae,EE,176,Team Total Direct Energie (PCT),team/team-total-direct-energie-2019
TERPSTRA Niki,rider/niki-terpstra,NL,177,Team Total Direct Energie (PCT),team/team-total-direct-energie-2019
TURGIS Anthony,rider/anthony-turgis,FR,178,Team Total Direct Energie (PCT),team/team-total-direct-energie-2019
ZAKARIN Ilnur,rider/ilnur-zakarin,RU,181,Team Katusha Alpecin (WT),team/team-katusha-alpecin-2019
DEBUSSCHERE Jens,rider/jens-debusschere,BE,182,Team Katusha Alpecin (WT),team/team-katusha-alpecin-2019
DOWSETT Alex,rider/alex-dowsett,GB,183,Team Katusha Alpecin (WT),team/team-katusha-alpecin-2019
GONÇALVES José,rider/jose-goncalves,PT,184,Team Katusha Alpecin (WT),team/team-katusha-alpecin-2019
HALLER Marco,rider/marco-haller,AT,185,Team Katusha Alpecin (WT),team/team-katusha-alpecin-2019
POLITT Nils,rider/nils-politt,DE,186,Team Katusha Alpecin (WT),team/team-katusha-alpecin-2019
WÜRTZ SCHMIDT Mads,rider/mads-wurtz-schmidt,DK,187,Team Katusha Alpecin (WT),team/team-katusha-alpecin-2019
ZABEL Rick,rider/rick-zabel,DE,188,Team Katusha Alpecin (WT),team/team-katusha-alpecin-2019
MARTIN Guillaume,rider/guillaume-martin,FR,191,Wanty - Gobert Cycling Team (PCT),team/wanty-gobert-cycling-team-2019
BACKAERT Frederik,rider/frederik-backaert,BE,192,Wanty - Gobert Cycling Team (PCT),team/wanty-gobert-cycling-team-2019
DE GENDT Aimé,rider/aime-de-gendt,BE,193,Wanty - Gobert Cycling Team (PCT),team/wanty-gobert-cycling-team-2019
EIKING Odd Christian,rider/odd-christian-eiking,NO,194,Wanty - Gobert Cycling Team (PCT),team/wanty-gobert-cycling-team-2019
MEURISSE Xandro,rider/xandro-meurisse,BE,195,Wanty - Gobert Cycling Team (PCT),team/wanty-gobert-cycling-team-2019
OFFREDO Yoann,rider/yoann-offredo,FR,196,Wanty - Gobert Cycling Team (PCT),team/wanty-gobert-cycling-team-2019
PASQUALON Andrea,rider/andrea-pasqualon,IT,197,Wanty - Gobert Cycling Team (PCT),team/wanty-gobert-cycling-team-2019
VAN MELSEN Kévin,rider/kevin-van-melsen,BE,198,Wanty - Gobert Cycling Team (PCT),team/wanty-gobert-cycling-team-2019
BOASSON HAGEN Edvald,rider/edvald-boasson-hagen,NO,201,Team Dimension Data (WT),team/team-dimension-data-2019
BAK Lars Ytting,rider/lars-ytting-bak,DK,202,Team Dimension Data (WT),team/team-dimension-data-2019
CUMMINGS Steve,rider/stephen-cummings,GB,203,Team Dimension Data (WT),team/team-dimension-data-2019
JANSE VAN RENSBURG Reinardt,rider/reinardt-janse-van-rensburg,ZA,204,Team Dimension Data (WT),team/team-dimension-data-2019
KING Ben,rider/benjamin-king-1,US,205,Team Dimension Data (WT),team/team-dimension-data-2019
KREUZIGER Roman,rider/roman-kreuziger,CZ,206,Team Dimension Data (WT),team/team-dimension-data-2019
NIZZOLO Giacomo,rider/giacomo-nizzolo,IT,207,Team Dimension Data (WT),team/team-dimension-data-2019
VALGREN Michael,rider/michael-valgren-andersen,DK,208,Team Dimension Data (WT),team/team-dimension-data-2019
BARGUIL Warren,rider/warren-barguil,FR,211,Team Arkéa Samsic (PCT),team/team-arkea-samsic-2019
BOUET Maxime,rider/maxime-bouet,FR,212,Team Arkéa Samsic (PCT),team/team-arkea-samsic-2019
DELAPLACE Anthony,rider/anthony-delaplace,FR,213,Team Arkéa Samsic (PCT),team/team-arkea-samsic-2019
GESBERT Élie,rider/elie-gesbert,FR,214,Team Arkéa Samsic (PCT),team/team-arkea-samsic-2019
GREIPEL André,rider/andre-greipel,DE,215,Team Arkéa Samsic (PCT),team/team-arkea-samsic-2019
